epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9424,1.45054,1.70204,1.23351,0.11061,0.69387,0.45063,0.23805,1.49852,2.38278,1.16687,0.0674853,0.000328431,0.000328431
2,67.3101,1.27085,1.24458,1.13932,0.66011,0.50623,0.5638,0.38922,1.0318,1.26105,1.04787,0.0344722,0.000648662,0.000648662
3,100.166,1.21354,1.14387,1.10834,0.69887,0.52923,0.60418,0.43695,0.98871,1.07698,1.02372,0.00144589,0.000955692,0.000955692
4,131.115,1.19737,1.11295,1.10661,0.71416,0.56857,0.62944,0.45913,0.96795,0.97187,1.01986,0.0009406,0.0009406,0.0009406
5,164.935,1.17341,1.08719,1.09477,0.69351,0.57166,0.62646,0.45402,0.98757,1.00759,1.02775,0.0009208,0.0009208,0.0009208
6,195.418,1.14783,1.04554,1.07745,0.69341,0.59044,0.64434,0.47015,0.94451,0.95829,1.00194,0.000901,0.000901,0.000901
7,226.45,1.13278,1.01786,1.07072,0.72598,0.57602,0.64658,0.48141,0.92017,0.90889,0.99283,0.0008812,0.0008812,0.0008812
8,256.571,1.13699,1.02134,1.07439,0.71204,0.58486,0.63967,0.47043,0.92522,0.99894,0.99283,0.0008614,0.0008614,0.0008614
9,287.22,1.11749,1.00105,1.06237,0.69348,0.59295,0.63826,0.46933,0.94825,0.98338,1.00789,0.0008416,0.0008416,0.0008416
10,318.184,1.11878,0.98718,1.06497,0.70505,0.5891,0.64675,0.48343,0.90408,0.89721,0.98998,0.0008218,0.0008218,0.0008218
11,351.224,1.11856,0.98674,1.06538,0.71294,0.57324,0.6438,0.48066,0.92103,0.90589,0.99687,0.000802,0.000802,0.000802
12,384.296,1.1126,0.97911,1.06475,0.70427,0.59465,0.65,0.48412,0.92135,0.88241,0.99385,0.0007822,0.0007822,0.0007822
13,418.207,1.10106,0.96408,1.0556,0.70216,0.60252,0.64881,0.47973,0.92437,0.92249,0.99838,0.0007624,0.0007624,0.0007624
14,450.081,1.08563,0.94942,1.04539,0.70941,0.59846,0.6567,0.48941,0.91867,0.86177,0.99179,0.0007426,0.0007426,0.0007426
15,480.57,1.08444,0.93128,1.04283,0.7061,0.60069,0.65253,0.4882,0.90206,0.89866,0.98662,0.0007228,0.0007228,0.0007228
16,511.426,1.08086,0.93117,1.04408,0.69959,0.6013,0.65604,0.49417,0.88616,0.87215,0.97997,0.000703,0.000703,0.000703
17,544.303,1.07023,0.92675,1.04598,0.70937,0.5879,0.64774,0.48733,0.89845,0.89958,0.9815,0.0006832,0.0006832,0.0006832
18,576.186,1.06794,0.92037,1.04035,0.72014,0.60577,0.66352,0.49803,0.89428,0.83158,0.9789,0.0006634,0.0006634,0.0006634
19,605.434,1.05072,0.89897,1.03387,0.71588,0.61635,0.66439,0.5,0.89499,0.86987,0.97994,0.0006436,0.0006436,0.0006436
20,635.054,1.05011,0.89717,1.03102,0.71486,0.58262,0.65354,0.49129,0.89967,0.85918,0.97963,0.0006238,0.0006238,0.0006238
21,665.091,1.04228,0.89468,1.03173,0.69944,0.60922,0.65288,0.48591,0.91796,0.87743,0.99471,0.000604,0.000604,0.000604
22,697.43,1.0319,0.88344,1.02772,0.70494,0.60637,0.65422,0.49437,0.87125,0.8824,0.97289,0.0005842,0.0005842,0.0005842
23,730.149,1.02525,0.87542,1.02013,0.72307,0.60477,0.65853,0.50071,0.86516,0.88638,0.97079,0.0005644,0.0005644,0.0005644
24,760.686,1.03811,0.88393,1.0274,0.72092,0.59833,0.65784,0.49584,0.88236,0.8294,0.97444,0.0005446,0.0005446,0.0005446
25,791.905,1.04823,0.87457,1.02913,0.73076,0.60389,0.66653,0.50488,0.86625,0.80547,0.97141,0.0005248,0.0005248,0.0005248
26,824.278,1.03136,0.85933,1.01718,0.71532,0.60028,0.65614,0.49623,0.86975,0.85608,0.97076,0.000505,0.000505,0.000505
27,857.443,1.0106,0.85137,1.01647,0.70244,0.60719,0.65369,0.49663,0.84845,0.89779,0.97061,0.0004852,0.0004852,0.0004852
28,882.771,1.00072,0.83272,1.00972,0.71645,0.6082,0.65889,0.49419,0.89367,0.81717,0.98301,0.0004654,0.0004654,0.0004654
29,918.163,1.00626,0.83937,1.01535,0.70603,0.60191,0.65458,0.49591,0.87358,0.83632,0.97382,0.0004456,0.0004456,0.0004456
30,947.182,1.03002,0.85023,1.02092,0.71496,0.60374,0.66189,0.50325,0.86162,0.84741,0.96783,0.0004258,0.0004258,0.0004258
31,981.6,1.0332,0.85193,1.02865,0.72384,0.61937,0.67092,0.50985,0.86286,0.8025,0.9692,0.000406,0.000406,0.000406
32,1012.75,1.00818,0.82391,1.01082,0.70413,0.61064,0.6551,0.4897,0.88939,0.84325,0.97909,0.0003862,0.0003862,0.0003862
33,1042.27,1.01356,0.82494,1.01104,0.72587,0.61003,0.66893,0.50726,0.85944,0.80322,0.96653,0.0003664,0.0003664,0.0003664
34,1073.36,0.98964,0.80925,1.00652,0.71588,0.60577,0.66092,0.50402,0.84994,0.82099,0.97046,0.0003466,0.0003466,0.0003466
35,1104.12,1.0042,0.81436,1.00767,0.72433,0.60617,0.66149,0.50295,0.86744,0.82277,0.97331,0.0003268,0.0003268,0.0003268
36,1136.27,0.99907,0.81063,1.00832,0.71999,0.60698,0.66075,0.49977,0.8782,0.85014,0.98103,0.000307,0.000307,0.000307
37,1167.14,0.99159,0.8051,1.00579,0.70242,0.63033,0.66906,0.51016,0.8604,0.79688,0.97741,0.0002872,0.0002872,0.0002872
38,1196.58,0.99707,0.80457,1.00637,0.71864,0.61444,0.66292,0.50674,0.85837,0.83544,0.97445,0.0002674,0.0002674,0.0002674
39,1228.29,0.98684,0.79179,1.00177,0.71762,0.61937,0.66433,0.50649,0.87005,0.81983,0.98047,0.0002476,0.0002476,0.0002476
40,1260.76,0.97224,0.78039,0.99468,0.73016,0.6011,0.6649,0.50922,0.85687,0.81022,0.97225,0.0002278,0.0002278,0.0002278
41,1287.45,0.86554,0.72784,0.94746,0.72454,0.60444,0.65953,0.49863,0.88108,0.8142,0.98337,0.000208,0.000208,0.000208
42,1304.72,0.85387,0.69133,0.94152,0.71252,0.61916,0.66749,0.50902,0.85137,0.82706,0.96762,0.0001882,0.0001882,0.0001882
43,1322.27,0.85285,0.66911,0.93894,0.72337,0.60617,0.66427,0.50862,0.85348,0.8333,0.96797,0.0001684,0.0001684,0.0001684
44,1340.49,0.84868,0.66662,0.94073,0.74031,0.59785,0.66576,0.50937,0.84931,0.80522,0.96751,0.0001486,0.0001486,0.0001486
45,1358.16,0.83186,0.65899,0.93685,0.73168,0.60475,0.66609,0.50883,0.85512,0.79259,0.971,0.0001288,0.0001288,0.0001288
46,1375.05,0.83231,0.64963,0.93245,0.71913,0.60968,0.66427,0.50819,0.85776,0.80271,0.97203,0.000109,0.000109,0.000109
47,1393.08,0.82102,0.63351,0.92644,0.73319,0.60597,0.6681,0.50952,0.8649,0.79795,0.98032,8.92e-05,8.92e-05,8.92e-05
48,1410.11,0.82933,0.63606,0.93158,0.726,0.61064,0.66706,0.50992,0.85802,0.80157,0.97366,6.94e-05,6.94e-05,6.94e-05
49,1427.41,0.81893,0.62647,0.92621,0.71784,0.61458,0.66498,0.50837,0.85444,0.8047,0.9757,4.96e-05,4.96e-05,4.96e-05
50,1444.65,0.81302,0.62214,0.92169,0.70757,0.62282,0.66531,0.50858,0.85667,0.79948,0.97546,2.98e-05,2.98e-05,2.98e-05
