               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14163,             0.11149,                   0,            0.010647,            0.066788,           0.0057901,           0.0012866,             0.13498,             0.10458,                   0,            0.067971,          0.00032353,          0.00032353
                   1,              0.1344,              0.1226,                   0,               0.105,             0.13398,             0.05107,            0.012571,             0.12672,             0.11734,                   0,            0.034964,          0.00065036,          0.00065036
                   2,             0.13024,              0.1227,                   0,             0.16995,             0.16525,            0.083354,            0.022192,             0.12336,             0.11691,                   0,            0.001951,          0.00097059,          0.00097059
                   3,             0.12613,             0.12413,                   0,             0.21318,             0.22391,             0.11455,            0.032332,             0.11953,              0.1196,                   0,           0.0009703,           0.0009703,           0.0009703
                   4,             0.12208,             0.13066,                   0,             0.25863,             0.26045,             0.16131,            0.048163,             0.11492,             0.12686,                   0,           0.0009703,           0.0009703,           0.0009703
                   5,             0.11918,             0.13672,                   0,             0.31626,             0.30877,              0.2286,            0.076279,             0.11017,             0.13358,                   0,           0.0009604,           0.0009604,           0.0009604
                   6,             0.11594,             0.14039,                   0,             0.36846,             0.34084,             0.26718,            0.094386,             0.10691,             0.13338,                   0,           0.0009505,           0.0009505,           0.0009505
                   7,             0.11467,             0.14467,                   0,             0.42765,             0.38145,             0.32166,             0.11634,             0.10452,             0.13768,                   0,           0.0009406,           0.0009406,           0.0009406
                   8,             0.11239,             0.14661,                   0,             0.44272,             0.39566,             0.33903,             0.12933,             0.10288,             0.13667,                   0,           0.0009307,           0.0009307,           0.0009307
                   9,             0.11071,             0.14902,                   0,             0.45747,             0.40378,             0.36057,              0.1417,             0.10141,             0.13717,                   0,           0.0009208,           0.0009208,           0.0009208
                  10,             0.11068,              0.1534,                   0,             0.50703,             0.41843,             0.40196,             0.16326,            0.099841,             0.14281,                   0,           0.0009109,           0.0009109,           0.0009109
                  11,             0.10957,             0.15283,                   0,             0.51224,             0.41758,             0.41143,             0.17198,            0.099039,             0.13926,                   0,            0.000901,            0.000901,            0.000901
                  12,             0.10819,             0.15293,                   0,             0.51566,             0.42996,              0.4221,             0.17957,            0.098156,             0.14054,                   0,           0.0008911,           0.0008911,           0.0008911
                  13,             0.10771,              0.1502,                   0,             0.51357,             0.43423,             0.42427,             0.18268,            0.097126,             0.14186,                   0,           0.0008812,           0.0008812,           0.0008812
                  14,             0.10701,              0.1566,                   0,             0.52133,             0.43666,             0.43214,             0.19141,            0.096667,             0.14082,                   0,           0.0008713,           0.0008713,           0.0008713
                  15,             0.10655,             0.15501,                   0,             0.55828,             0.45189,             0.45391,             0.20203,            0.095886,               0.143,                   0,           0.0008614,           0.0008614,           0.0008614
                  16,             0.10595,             0.15423,                   0,             0.56123,              0.4378,             0.45623,             0.20381,            0.095402,             0.14195,                   0,           0.0008515,           0.0008515,           0.0008515
                  17,             0.10569,             0.15889,                   0,             0.57667,             0.44235,             0.46556,             0.21092,             0.09504,             0.14194,                   0,           0.0008416,           0.0008416,           0.0008416
                  18,             0.10558,             0.15663,                   0,             0.57445,             0.44806,             0.46945,             0.21401,            0.094542,              0.1435,                   0,           0.0008317,           0.0008317,           0.0008317
                  19,             0.10492,             0.15623,                   0,             0.58072,             0.43808,             0.46858,             0.21552,            0.094136,             0.14233,                   0,           0.0008218,           0.0008218,           0.0008218
                  20,             0.10476,             0.15727,                   0,             0.59191,             0.45656,             0.48424,             0.22288,            0.093745,             0.14397,                   0,           0.0008119,           0.0008119,           0.0008119
                  21,             0.10434,             0.15958,                   0,             0.59635,             0.46772,             0.49104,             0.22631,            0.093395,             0.14554,                   0,            0.000802,            0.000802,            0.000802
                  22,             0.10353,             0.15777,                   0,             0.59424,             0.46022,             0.49195,             0.22842,            0.093153,             0.14388,                   0,           0.0007921,           0.0007921,           0.0007921
                  23,             0.10436,             0.15769,                   0,             0.58441,             0.46021,             0.48703,             0.22896,            0.092831,             0.14352,                   0,           0.0007822,           0.0007822,           0.0007822
