class_name,confidence,x1,y1,x2,y2,width,height
leaf,0.831,2511.660,0.000,3025.250,371.778,513.591,371.778
leaf,0.803,1986.800,237.358,2345.604,624.602,358.803,387.244
leaf,0.781,214.538,0.000,554.368,206.136,339.830,206.136
leaf,0.711,1153.454,0.000,1600.369,386.668,446.916,386.668
leaf,0.694,0.000,195.916,390.108,738.506,390.108,542.591
leaf,0.645,1977.433,783.008,2179.000,1081.630,201.566,298.622
leaf,0.599,603.561,0.000,990.593,487.224,387.032,487.224
leaf,0.598,866.848,531.184,1340.281,950.466,473.433,419.282
leaf,0.579,1431.121,411.392,1868.489,821.720,437.368,410.328
leaf,0.571,2785.800,1434.924,2989.817,1577.370,204.017,142.446
leaf,0.560,2025.166,7.334,2319.213,246.967,294.046,239.633
leaf,0.550,1588.397,84.132,2018.278,543.848,429.881,459.716
leaf,0.476,318.671,247.055,609.739,550.199,291.068,303.144
leaf,0.473,3033.049,0.000,3256.654,147.341,223.605,147.341
leaf,0.471,0.000,0.000,209.815,269.379,209.815,269.379
leaf,0.446,0.000,653.139,216.544,923.118,216.544,269.979
leaf,0.417,2604.214,1401.466,2761.565,1557.274,157.351,155.808
leaf,0.383,2394.458,1390.661,2516.387,1539.365,121.929,148.704
leaf,0.361,2343.184,1198.880,2497.013,1411.356,153.829,212.476
leaf,0.357,999.521,115.103,1292.575,466.562,293.054,351.459
leaf,0.357,2227.065,834.625,2421.015,1045.966,193.950,211.341
