epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.97906,4.14869,3.24208,0,0.02854,0.17563,0.01677,0.0039,3.84956,3.2204,0,0.0902,0.0002,0.0002
2,5.51139,3.94837,3.13404,0,0.0361,0.22217,0.02207,0.00544,3.61194,2.95913,0,0.07942,0.000419999,0.000419999
3,7.44279,3.71598,2.7911,0,0.01354,0.08331,0.00734,0.002,3.52603,2.71687,0,0.06864,0.000639994,0.000639994
4,9.41888,3.68801,2.77191,0,0.01992,0.12259,0.01123,0.0032,3.48788,2.75062,0,0.05786,0.000859981,0.000859981
5,11.316,3.66166,2.71236,0,0.01898,0.11684,0.01062,0.00282,3.49759,2.74997,0,0.04708,0.00107996,0.00107996
6,13.0297,3.62172,2.69307,0,0.02248,0.13835,0.0128,0.00335,3.49762,2.73349,0,0.0362999,0.00129992,0.00129992
7,15.0394,3.62423,2.68446,0,0.00598,0.03678,0.0031,0.00082,3.49006,2.72374,0,0.0255199,0.00151987,0.00151987
8,16.8457,3.61363,2.6783,0,0.01642,0.10108,0.00925,0.00251,3.49569,2.7643,0,0.0147398,0.00173979,0.00173979
9,18.6507,3.58788,2.66873,0,0.01244,0.07656,0.00672,0.00184,3.49404,2.81442,0,0.00395969,0.00195969,0.00195969
10,20.4271,3.62055,2.65545,0,0.01614,0.09932,0.00948,0.00253,3.48588,2.89996,0,0.0019996,0.0019996,0.0019996
11,22.1553,3.62606,2.6371,0,0.02077,0.12785,0.01187,0.00319,3.48882,2.97527,0,0.00199951,0.00199951,0.00199951
12,24.0317,3.61275,2.63648,0,0.01215,0.07481,0.00654,0.00165,3.48377,3.06344,0,0.00199941,0.00199941,0.00199941
13,25.8015,3.59859,2.61107,0,0.01589,0.09782,0.00875,0.00229,3.48935,3.04665,0,0.0019993,0.0019993,0.0019993
14,27.3841,3.59262,2.59798,0,0.02581,0.15887,0.01552,0.00441,3.49525,2.82375,0,0.00199917,0.00199917,0.00199917
15,28.7412,3.62719,2.569,0,0.03089,0.19014,0.01896,0.00512,3.49041,2.65503,0,0.00199904,0.00199904,0.00199904
16,30.1768,3.58456,2.56471,0,0.02874,0.17688,0.01794,0.00468,3.51787,2.63109,0,0.0019989,0.0019989,0.0019989
17,31.9077,3.59783,2.52219,0,0.02663,0.16387,0.01674,0.00441,3.56349,2.62242,0,0.00199875,0.00199875,0.00199875
18,33.3829,3.55387,2.50603,0,0.02654,0.16337,0.0158,0.00429,3.57389,2.68072,0,0.00199859,0.00199859,0.00199859
19,34.8784,3.58985,2.47476,0,0.02671,0.16437,0.0163,0.00422,3.55936,2.81431,0,0.00199842,0.00199842,0.00199842
20,36.6106,3.60269,2.46711,0,0.02589,0.15937,0.0157,0.00422,3.58046,2.71491,0,0.00199824,0.00199824,0.00199824
